,University,Course,Term,Deadline,Rank,Rate,City/State
9,Duke University,Computer Science (Masters),Spring,"01 Oct, 2020 View",25,3.6,"Durham, NC"
10,Virginia Tech,Computer Science (Masters),Spring,"01 Oct, 2020 View",40,3.2,"Blacksburg, VA"
11,Cornell University,Computer Science (Masters),Spring,"01 Oct, 2020 View",6,4.5,"Ithaca, NY"
12,University of South Florida,Computer Science (Masters),Spring,"15 Oct, 2020 View",102,2.1,"Tampa, FL"
0,Syracuse University,Enterprise Data Systems (Masters),Spring (Priority),"15 Oct, 2020 View",68,2.5,"Syracuse, NY"
1,Syracuse University,Computer and Information Systems Security (Masters),Spring,"15 Oct, 2020 View",68,2.5,"Syracuse, NY"
2,Virginia Tech,Computational Electrical & Computer Engineering (Masters),Spring (Final Deadline),"15 Oct, 2020 View",40,3.2,"Blacksburg, VA"
3,Virginia Tech,Computational Electrical & Computer Engineering (Masters),Spring,"15 Oct, 2020 View",40,3.2,"Blacksburg, VA"
4,Arizona State University,Evaluation and Data Analytics (Masters),Spring,"30 Oct, 2020 View",43,3.1,"Tempe, AZ"
5,Cornell University,Computer Science (Masters),Spring,"01 Nov, 2020 View",6,4.5,"Ithaca, NY"
6,Stevens Institute of Technology,Computer Science (Masters),Spring,"01 Nov, 2020 View",91,2.2,"Hoboken, NJ"
7,Stevens Institute of Technology,Computer and Information Systems Security (Masters),Spring,"01 Nov, 2020 View",91,2.2,"Hoboken, NJ"
8,University of Oklahoma,Computer Science (Masters),Spring,"01 Nov, 2020 View",111,2,"Norman, OK"
0,Lehigh University,Computer Science (Masters),Spring,"01 Nov, 2020 View",102,2.1,"Bethlehem, PA"
1,Lehigh University,Computer Science (Masters),Spring,"01 Nov, 2020 View",102,2.1,"Bethlehem, PA"
2,Stevens Institute of Technology,Computer Engineering (Masters),Spring,"01 Nov, 2020 View",91,2.2,"Hoboken, NJ"
3,Stevens Institute of Technology,Media & Broadcast Engineering (Masters),Spring,"01 Nov, 2020 View",91,2.2,"Hoboken, NJ"
4,Iowa State University,Computer and Information Systems Security (Masters),Spring,"01 Nov, 2020 View",61,2.7,"Ames, IA"
5,Illinois Institute of Technology,Information Technology (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
0,Illinois Institute of Technology,Computer and Information Systems Security (Masters),Spring  (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
1,Illinois Institute of Technology,Computational Electrical & Computer Engineering (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
2,Illinois Institute of Technology,Computational Electrical & Computer Engineering (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
3,Illinois Institute of Technology,Advanced Software Engineering (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
4,Illinois Institute of Technology,Computer Engineering (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
5,Illinois Institute of Technology,Computer Science (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
6,Illinois Institute of Technology,Computer Science (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
7,Illinois Institute of Technology,Computer and Information Systems Security (Masters),Spring (Final Deadline),"15 Nov, 2020 View",91,2.2,"Chicago, IL"
8,Georgia State University,Computer Science (Masters),Spring,"15 Nov, 2020 View",RNP,,"Atlanta, GA"
9,New Jersey Institute of Technology,Cybersecurity and Privacy (Masters),Spring,"15 Nov, 2020 View",91,2.2,"Newark, NJ"
10,Arizona State University,Computer and Information Systems Security (Masters),Spring,"28 Nov, 2020 View",43,3.1,"Tempe, AZ"
0,Syracuse University,Enterprise Data Systems (Masters),Spring,"15 Dec, 2020 View",68,2.5,"Syracuse, NY"
1,University of Arizona,Computer and Information Systems Security (Masters),Spring,"14 Dec, 2021 View",43,3.1,"Tucson, AZ"
